freq	leg_stat	sex	unit	geo	2022 	2023 
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Slovenia	1389.77	1356.18
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Slovakia	1834.23	1672.69
A	CIV_COM_LITIG	CRT_PEN	NR	Austria	28408.0	30343.0
A	CIV_COM_LITIG	CRT_PEN	NR	Belgium		451034.0
A	CIV_COM_LITIG	CRT_PEN	NR	Bulgaria		67271.0
A	CIV_COM_LITIG	CRT_PEN	NR	Czechia	117684.0	118658.0
A	CIV_COM_LITIG	CRT_PEN	NR	Germany	684818.0	712976.0
A	CIV_COM_LITIG	CRT_PEN	NR	Denmark	31979.0	36586.0
A	CIV_COM_LITIG	CRT_PEN	NR	Estonia	7146.0	8657.0
A	CIV_COM_LITIG	CRT_PEN	NR	Greece	265990.0	277588.0
A	CIV_COM_LITIG	CRT_PEN	NR	Spain	1323049.0	1555495.0
A	CIV_COM_LITIG	CRT_PEN	NR	Finland	7248.0	8368.0
A	CIV_COM_LITIG	CRT_PEN	NR	France	1258249.0	1361614.0
A	CIV_COM_LITIG	CRT_PEN	NR	Croatia	158445.0	158947.0
A	CIV_COM_LITIG	CRT_PEN	NR	Hungary	45928.0	45900.0
A	CIV_COM_LITIG	CRT_PEN	NR	Italy	2027478.0	1957629.0
A	CIV_COM_LITIG	CRT_PEN	NR	Lithuania	27688.0	27642.0
A	CIV_COM_LITIG	CRT_PEN	NR	Luxembourg	3328.0	3802.0
A	CIV_COM_LITIG	CRT_PEN	NR	Latvia	17010.0	16827.0
A	CIV_COM_LITIG	CRT_PEN	NR	Malta	12260.0	12607.0
A	CIV_COM_LITIG	CRT_PEN	NR	Poland	863215.0	911474.0
A	CIV_COM_LITIG	CRT_PEN	NR	Portugal	176256.0	185895.0
A	CIV_COM_LITIG	CRT_PEN	NR	Romania	563035.0	769823.0
A	CIV_COM_LITIG	CRT_PEN	NR	Sweden	25773.0	28111.0
A	CIV_COM_LITIG	CRT_PEN	NR	Slovenia	27684.0	27372.0
A	CIV_COM_LITIG	CRT_PEN	NR	Slovakia	49427.0	45100.0
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Austria	316.39	333.26
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Belgium		3840.94
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Bulgaria		1043.33
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Czechia	1119.02	1095.89
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Germany	822.73	857.78
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Denmark	544.47	616.69
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Estonia	536.57	633.8
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Greece	2542.98	2665.53
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Spain	2789.31	3234.86
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Finland	130.64	150.4
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	France	1853.86	1994.24
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Croatia	4102.34	4127.54
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Hungary	474.02	478.14
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Italy	3434.65	3318.17
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Lithuania	986.74	967.42
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Luxembourg	515.65	575.36
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Latvia	906.83	893.62
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Malta	2353.3	2325.8
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Poland	2292.48	2479.95
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Portugal	1702.62	1767.63
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Romania	2956.74	4040.1
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Sweden	246.58	267.18
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Slovenia	1313.79	1292.98
A	CIV_COM_LITIG	CRT_PEN	P_HTHAB	Slovakia	909.47	830.76
A	CIV_COM_LITIG	CRT_RESL	NR	Austria	73270.0	78693.0
A	CIV_COM_LITIG	CRT_RESL	NR	Belgium	685134.0	669324.0
A	CIV_COM_LITIG	CRT_RESL	NR	Bulgaria		131762.0
A	CIV_COM_LITIG	CRT_RESL	NR	Czechia	320347.0	345003.0
A	CIV_COM_LITIG	CRT_RESL	NR	Germany	1037598.0	1046066.0
A	CIV_COM_LITIG	CRT_RESL	NR	Denmark	43556.0	50453.0
A	CIV_COM_LITIG	CRT_RESL	NR	Estonia	16509.0	16159.0
A	CIV_COM_LITIG	CRT_RESL	NR	Greece	130171.0	131447.0
A	CIV_COM_LITIG	CRT_RESL	NR	Spain	1343849.0	1278752.0
A	CIV_COM_LITIG	CRT_RESL	NR	Finland	8086.0	8749.0
A	CIV_COM_LITIG	CRT_RESL	NR	France	1380745.0	1402464.0
A	CIV_COM_LITIG	CRT_RESL	NR	Croatia	141052.0	108911.0
A	CIV_COM_LITIG	CRT_RESL	NR	Hungary	124822.0	124464.0
A	CIV_COM_LITIG	CRT_RESL	NR	Ireland	72937.0	81902.0
A	CIV_COM_LITIG	CRT_RESL	NR	Italy	1371212.0	1397862.0
A	CIV_COM_LITIG	CRT_RESL	NR	Lithuania	87018.0	84043.0
A	CIV_COM_LITIG	CRT_RESL	NR	Luxembourg	6689.0	6287.0
A	CIV_COM_LITIG	CRT_RESL	NR	Latvia	29759.0	30173.0
A	CIV_COM_LITIG	CRT_RESL	NR	Malta	9118.0	10141.0
A	CIV_COM_LITIG	CRT_RESL	NR	Netherlands	123994.0	124533.0
A	CIV_COM_LITIG	CRT_RESL	NR	Poland	870959.0	930609.0
A	CIV_COM_LITIG	CRT_RESL	NR	Portugal	270366.0	253653.0
A	CIV_COM_LITIG	CRT_RESL	NR	Romania	1282368.0	1289204.0
A	CIV_COM_LITIG	CRT_RESL	NR	Sweden	61807.0	65517.0
A	CIV_COM_LITIG	CRT_RESL	NR	Slovenia	30007.0	29001.0
A	CIV_COM_LITIG	CRT_RESL	NR	Slovakia	107486.0	95363.0
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	Austria	816.02	864.31
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	Belgium	5897.37	5699.87
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	Bulgaria		2043.55
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	Czechia	3046.08	3186.35
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	Germany	1246.56	1258.52
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	Denmark	741.58	850.43
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	Estonia	1239.6	1183.04
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	Greece	1244.49	1262.22
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	Spain	2833.16	2659.34
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	Finland	145.74	157.24
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	France	2034.34	2054.07
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	Croatia	3652.02	2828.2
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	Hungary	1288.28	1296.53
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	Ireland	1441.44	1553.71
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	Italy	2322.9	2369.37
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	Lithuania	3101.14	2941.36
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	Luxembourg	1036.42	951.41
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	Latvia	1586.51	1602.38
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	Malta	1750.19	1870.86
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	Netherlands	704.88	699.18
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	Poland	2313.04	2532.01
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	Portugal	2611.72	2411.92
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	Romania	6734.26	6765.86
