freq	iccs	leg_stat	sex	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0101	PER_CNV	M	P_HTHAB	Albania							11.78	11.16	9.05	6.4	7.85	5.11	4.22	6.81	6.7	5.41
A	ICCS0101	PER_CNV	M	P_HTHAB	Austria	0.49	0.42	0.89	0.64	0.85	0.68	0.75	0.5	0.66	0.51	0.97	0.71	0.8	0.75	0.61	0.65
A	ICCS0101	PER_CNV	M	P_HTHAB	Bosnia and Herzegovina				5.49	5.44											
A	ICCS0101	PER_CNV	M	P_HTHAB	Belgium			3.56	3.94	5.01	4.14	3.8	1.34	1.51	1.47	1.57	1.29	0.79			
A	ICCS0101	PER_CNV	M	P_HTHAB	Bulgaria	3.66	2.94	3.13	2.98	2.72	1.83	1.87	2.66	2.21	2.14	1.81	1.62	1.1	1.49	1.24	1.61
A	ICCS0101	PER_CNV	M	P_HTHAB	Switzerland	0.94	0.77	1.07	0.59	0.92	0.76	0.85	0.81	0.68	0.81	0.74	0.52	0.49	0.81	0.51	0.16
A	ICCS0101	PER_CNV	M	P_HTHAB	Cyprus	0.79	1.28	2.75	0.49	1.91	4.28	1.44	0.73	1.45	3.12	0.47	1.64	3.68	2.28	2.04	
A	ICCS0101	PER_CNV	M	P_HTHAB	Czechia	2.39	1.95	1.75	2.1	1.9	2.07	2.25	1.93	1.58	1.33	1.67	1.22	1.63	1.65	1.49	1.34
A	ICCS0101	PER_CNV	M	P_HTHAB	Germany		0.86	0.85	0.73	0.83	0.66	0.73	0.75	0.71	0.63	0.64	0.76	0.67	0.62	0.59	0.55
A	ICCS0101	PER_CNV	M	P_HTHAB	Denmark	0.77	1.24	1.75	0.87	1.12	0.72	0.68	1.17	0.56	1.05	0.97	0.76	1.28	1.1	0.99	1.22
A	ICCS0101	PER_CNV	M	P_HTHAB	Estonia			8.05	6.13	9.06	9.9	4.55	5.21	5.51	3.56	4.19	5.43	4.29	4.44	3.63	
A	ICCS0101	PER_CNV	M	P_HTHAB	Greece														4.31	3.95	2.81
A	ICCS0101	PER_CNV	M	P_HTHAB	Spain					0.32	0.36	0.9	0.95	0.71	0.75	0.64	0.8	0.82	0.68	0.72	0.84
