freq	iccs	sex	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0101	M	P_HTHAB	Albania	68.43	77.62		76.94			72.6	26.21	21.97	29.31	28.36	27.42	28.93	28.65	29.78	28.9
A	ICCS0101	M	P_HTHAB	Austria	12.32	11.91	12.03	12.31	12.3	11.54	11.02	10.73	11.28	10.64	7.72	7.94	8.15	8.07	7.8	8.27
A	ICCS0101	M	P_HTHAB	Belgium	15.26	14.69	15.29	14.83	15.17											
A	ICCS0101	M	P_HTHAB	Bulgaria	28.03	27.42	25.6	26.08	26.47	25.42	24.43	22.04	22.26	23.62	23.17	23.91	23.77	21.29	23.5	24.04
A	ICCS0101	M	P_HTHAB	Switzerland	11.99	12.12	11.88	11.76	11.78	11.77	11.29	12.22	12.62	12.72	12.55	13.88	13.94	13.06	11.73	
A	ICCS0101	M	P_HTHAB	Cyprus		4.36	4.5	4.4	4.53	3.8									13.38	
A	ICCS0101	M	P_HTHAB	Czechia				22.36	19.79	20.56	20.4	14.87	20.69	19.79	18.99	17.71	17.15	16.66	17.69	15.67
A	ICCS0101	M	P_HTHAB	Germany						9.0	8.72	8.32	7.87	7.75	7.78	7.69	7.73	7.65	7.55	7.35
A	ICCS0101	M	P_HTHAB	Denmark	5.9	6.08	6.45	7.0	6.47	6.8	6.45	6.65	6.41	5.8	6.01	5.99	6.08	6.27	5.34	5.22
A	ICCS0101	M	P_HTHAB	Estonia			79.74	81.49		78.55		66.21	60.64	55.22	50.56	46.35	43.54	42.16	39.15	33.83
A	ICCS0101	M	P_HTHAB	Greece	13.07	10.39	11.88	12.47	14.88	14.26	15.32	14.37	15.06	15.51	15.26	15.51	14.82	12.49	14.16	11.6
A	ICCS0101	M	P_HTHAB	Spain	12.49	13.43	13.52	13.18	15.55	15.89	15.52	15.97	15.8	15.32	15.98	14.24	13.88	13.6	13.9	12.72
A	ICCS0101	M	P_HTHAB	Finland	20.1	20.64	20.61	20.77	20.43	20.89	20.44	20.21	17.62	16.85	15.96	15.75	15.83	16.13	15.49	9.99
A	ICCS0101	M	P_HTHAB	France	10.66	10.37	10.09	10.02	10.02	11.85	11.21	8.97	14.35	20.52	21.77	22.29	13.26	13.53		14.76
A	ICCS0101	M	P_HTHAB	Croatia	20.51	20.66	19.81		18.47	18.77	18.29	15.84			15.64	14.65	13.85	14.86	16.65	16.11
A	ICCS0101	M	P_HTHAB	Hungary						28.24	29.38	26.96		32.73	4.86	9.15	13.44	16.77	20.5	22.7
A	ICCS0101	M	P_HTHAB	Ireland						17.29										
A	ICCS0101	M	P_HTHAB	Iceland						11.15				3.51	3.94					
A	ICCS0101	M	P_HTHAB	Italy	19.06	19.91	20.42	20.58	20.94	32.34	30.88	30.15	29.86	30.27	30.42	30.69	29.4	29.64	29.54	29.53
A	ICCS0101	M	P_HTHAB	Liechtenstein						5.48	5.43	0.0	5.36							
A	ICCS0101	M	P_HTHAB	Lithuania	114.02	117.22	124.12	135.52	136.83	132.74	131.64	121.89	118.08	115.38	112.16	106.59	99.13	93.79	87.17	73.74
A	ICCS0101	M	P_HTHAB	Luxembourg				14.53	19.1	18.63	20.72	20.57	0.0	15.84						
A	ICCS0101	M	P_HTHAB	Latvia						72.96	70.99	65.41	64.25	63.53	62.83	57.07	31.33	55.07	57.42	53.76
A	ICCS0101	M	P_HTHAB	Montenegro	4.29	4.93	5.24	6.21	3.59	4.89	14.98	12.68	14.62	15.6	7.15	9.75	11.71	13.04	10.81	6.56
A	ICCS0101	M	P_HTHAB	Malta						14.77	15.06	14.44	17.01	19.86	21.2	10.72	10.91	17.61	18.51	18.61
A	ICCS0101	M	P_HTHAB	Norway	5.38	5.05	5.03	5.12	5.24	4.93	4.83	5.04	4.88	4.91	5.55	5.51	5.28	5.52	5.3	5.17
A	ICCS0101	M	P_HTHAB	Poland									21.83	21.76	21.88	22.05	21.78	21.67	21.83	22.44
A	ICCS0101	M	P_HTHAB	Portugal	6.45	6.47	6.46	6.33	6.32	6.37	6.13	6.07	5.77	5.57	5.44	4.82	4.69	4.94	4.59	
A	ICCS0101	M	P_HTHAB	Romania	50.13	48.0	47.59	48.91	51.95	61.6	61.72	63.81	61.62	55.53	50.55	48.67	50.36	55.28	52.74	52.28
A	ICCS0101	M	P_HTHAB	Serbia						17.24	20.75	21.74	19.82	20.41	21.67	20.31	20.86	21.16	23.64	25.39
A	ICCS0101	M	P_HTHAB	Sweden	8.94	9.17	9.53	9.13	9.25	11.23	10.9	11.12	11.19	11.99	12.1	12.39	13.4	14.53	16.2	17.23
A	ICCS0101	M	P_HTHAB	Slovenia									6.94	8.1	7.3	9.34	9.13	8.11	8.79	9.97
A	ICCS0101	M	P_HTHAB	Slovakia							17.58	17.52	17.46	13.16	13.74	14.54	15.35	16.09		16.08
A	ICCS0101	M	P_HTHAB	Turkey		4.08	7.78	9.07	16.68	64.99	68.35	70.9	73.57		81.87	82.28	86.51	90.03	96.39	79.46
A	ICCS0101	M	P_HTHAB	England and Wales	16.4	17.8	16.83	17.56	17.95	17.94	17.8	17.85	18.21	17.96	17.8					
A	ICCS0101	M	P_HTHAB	Scotland	31.45	31.7	30.51	30.4	30.58	31.26	31.14									
A	ICCS0101	M	P_HTHAB	Northern Ireland		16.46	17.7	18.04	17.15	18.87	23.18	23.05	19.06							
A	ICCS0101	M	P_HTHAB	Kosovo		24.7	39.63	43.35							39.07	38.74	38.06			
A	ICCS0101	T	NR	Albania	1138.0	1239.0	1167.0	1126.0	1202.0	1162.0	1076.0	387.0	325.0	429.0	411.0	394.0	412.0	405.0	414.0	395.0
A	ICCS0101	T	NR	Austria	534.0	519.0	526.0	533.0	536.0	513.0	495.0	487.0	488.0	498.0	365.0	377.0	390.0	392.0	383.0	413.0
A	ICCS0101	T	NR	Bosnia and Herzegovina						407.0	403.0	446.0	349.0	357.0	155.0	326.0	244.0	349.0	321.0	313.0
A	ICCS0101	T	NR	Belgium	848.0	814.0	857.0	850.0	890.0											
A	ICCS0101	T	NR	Bulgaria	1078.0	1050.0	979.0	979.0	981.0	935.0	897.0	809.0	811.0	849.0	832.0	848.0	834.0	745.0	806.0	804.0
A	ICCS0101	T	NR	Switzerland	468.0	488.0	487.0	487.0	496.0	500.0	495.0	541.0	566.0	580.0	581.0	648.0	657.0	622.0	563.0	
A	ICCS0101	T	NR	Cyprus		17.0	19.0	19.0	20.0	18.0									61.0	
A	ICCS0101	T	NR	Czechia				1247.0	1110.0	1158.0	1160.0	878.0	1192.0	1143.0	1110.0	1038.0	1019.0	988.0	1036.0	942.0
A	ICCS0101	T	NR	Germany						3795.0	3679.0	3543.0	3398.0	3359.0	3391.0	3366.0	3394.0	3353.0	3315.0	3228.0
A	ICCS0101	T	NR	Denmark	174.0	180.0	192.0	211.0	195.0	203.0	193.0	196.0	191.0	178.0	182.0	185.0	187.0	190.0	170.0	165.0
A	ICCS0101	T	NR	Estonia	620.0	574.0	527.0	530.0	517.0	512.0	488.0	430.0	395.0	359.0	329.0	306.0	287.0	279.0	263.0	230.0
A	ICCS0101	T	NR	Greece	756.0	608.0	670.0	724.0	853.0	817.0	874.0	806.0	854.0	867.0	844.0	862.0	832.0	708.0	784.0	645.0
A	ICCS0101	T	NR	Spain	2972.0	3245.0	3303.0	3225.0	3827.0	3914.0	3809.0	3924.0	3903.0	3815.0	3717.0	3566.0	3507.0	3475.0	3557.0	3295.0
A	ICCS0101	T	NR	Finland	576.0	591.0	599.0	604.0	602.0	621.0	601.0	604.0	530.0	508.0	479.0	474.0	471.0	484.0	464.0	305.0
