freq	leg_stat	sex	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	PER_CNV	M	P_HTHAB	Northern Ireland	3536.67	3578.7	3576.35	3628.65	3362.76	3019.31	2465.39	2238.61	2092.28	2110.78						
A	PER_CNV	M	P_HTHAB	Kosovo	1177.06	1171.65	853.62	1958.71					2001.26	2097.87	2183.19	1926.78				
A	PER_CNV	T	NR	Albania	8009.0	7670.0	8510.0	9754.0	9562.0	8577.0	13618.0	16141.0	14614.0	10911.0	11614.0	11052.0	9853.0	12603.0	11422.0	8856.0
A	PER_CNV	T	NR	Austria	38226.0	37868.0	38394.0	36461.0	35541.0	34424.0	303654.0	32118.0	30450.0	30746.0	27655.0	27284.0	23716.0	23731.0	24466.0	25033.0
A	PER_CNV	T	NR	Bosnia and Herzegovina	16951.0	17707.0	17294.0	15709.0	17846.0	19015.0	18442.0	17471.0	16592.0	15036.0	14447.0	13616.0	10702.0	11356.0	10770.0	10702.0
A	PER_CNV	T	NR	Belgium			140990.0	142882.0	163323.0	141857.0	117534.0	132122.0		238286.0	229599.0	202990.0	159957.0			
A	PER_CNV	T	NR	Bulgaria	36137.0	40872.0	39070.0	41013.0	37996.0	34113.0	31849.0	27787.0	28301.0	25800.0	23973.0	23389.0	21889.0	24121.0	24047.0	23037.0
A	PER_CNV	T	NR	Switzerland	100048.0	102526.0	106935.0	101903.0	109123.0	107099.0	108877.0	108099.0	108393.0	105156.0	106185.0	97170.0	97170.0	98912.0	103444.0	105916.0
A	PER_CNV	T	NR	Cyprus	63775.0	62466.0	75693.0	86813.0	71545.0	60819.0	68708.0	54095.0	45324.0	43477.0	39502.0	39975.0	35541.0	33563.0	36984.0	
A	PER_CNV	T	NR	Czechia	75882.0	73787.0	70651.0	70160.0	71471.0	77976.0	72825.0	65569.0	61423.0	55705.0	54448.0	55594.0	45558.0	49647.0	50227.0	51399.0
A	PER_CNV	T	NR	Germany	874691.0	844520.0	813266.0	807815.0	773901.0	755938.0	748782.0	739487.0	737873.0	716044.0	712338.0	728868.0	699269.0	662100.0	647374.0	656901.0
A	PER_CNV	T	NR	Denmark	163095.0	173255.0	183599.0	200452.0	209632.0	206214.0	209388.0	202314.0	196486.0	177935.0	182804.0	51439.0	56280.0	52837.0	52678.0	57224.0
