freq	leg_stat	citizen	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	PER_CNV	TOTAL	P_HTHAB	Belgium			1300.66	1298.85	1472.06	1270.93	1051.21	1175.75	385.27	2099.12	2014.28	1771.98	1388.22			
A	PER_CNV	TOTAL	P_HTHAB	Bulgaria	480.67	547.36	526.42	556.53	518.56	468.29	439.56	385.81	395.61	363.29	340.04	334.13	314.88	348.74	370.95	357.29
A	PER_CNV	TOTAL	P_HTHAB	Switzerland	1317.55	1331.19	1373.46	1294.81	1371.81	1332.23	1337.62	1320.99	1301.69	1248.95	1251.57	1137.22	1129.09	1140.81	1183.73	1201.49
A	PER_CNV	TOTAL	P_HTHAB	Cyprus	8214.9	7838.33	9240.54	10337.95	8299.78	7023.97	8007.93	6386.6	5342.8	5086.21	4570.74	4563.88	4002.34	3745.84	4087.96	
A	PER_CNV	TOTAL	P_HTHAB	Czechia	733.63	707.74	675.3	669.04	680.32	741.49	692.75	622.2	582.0	526.57	513.17	522.02	426.02	473.06	477.59	474.71
A	PER_CNV	TOTAL	P_HTHAB	Germany	1063.87	1029.87	994.19	1006.97	963.43	938.78	927.08	910.73	897.92	867.7	860.39	877.95	840.8	796.22	777.75	790.32
A	PER_CNV	TOTAL	P_HTHAB	Denmark	2978.47	3143.55	3317.21	3604.84	3756.5	3680.67	3720.97	3448.44	3324.72	3095.18	3162.05	885.95	966.55	904.74	896.89	964.56
A	PER_CNV	TOTAL	P_HTHAB	Estonia	864.74	590.01	684.85	751.47	727.28	642.11	582.91	560.89	578.98	510.32	432.25	430.47	372.39	343.52	288.11	
A	PER_CNV	TOTAL	P_HTHAB	Greece														50.81	45.55	41.23
A	PER_CNV	TOTAL	P_HTHAB	Spain	529.34	556.12	534.16	549.4	541.92	526.07	502.83	509.89	612.52	642.58	643.62	641.38	491.57	624.08	679.45	610.05
A	PER_CNV	TOTAL	P_HTHAB	Finland	4486.04	3875.66	3850.75	3775.1	3536.49	3366.32	3174.6	3320.58	2843.54	1497.77	1502.27	1503.39	1460.41	1459.04	1397.96	1416.38
