freq	iccs	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0102	NR	Slovenia	19.0	38.0	31.0	34.0	30.0	28.0	16.0	26.0	26.0	41.0	37.0	17.0	34.0	22.0	27.0	16.0
A	ICCS0102	NR	Slovakia	0.0	0.0	0.0	0.0	0.0	78.0	72.0	48.0		80.0						
A	ICCS0102	NR	Scotland	698.0	614.0	518.0	542.0	403.0	317.0	263.0	293.0	236.0	245.0	310.0					
A	ICCS0102	NR	Northern Ireland	121.0	114.0	118.0	111.0	116.0	102.0	111.0	112.0	78.0	99.0	74.0					
A	ICCS0102	NR	Kosovo	157.0	183.0	151.0	197.0	161.0	168.0	167.0	156.0	147.0	134.0	139.0	116.0	115.0	110.0		
A	ICCS0102	P_HTHAB	Albania	7.63	7.25		7.56			6.25	4.78	4.57	4.48	3.97	3.25	4.01	3.57	3.33	3.4
A	ICCS0102	P_HTHAB	Austria	0.7	1.22	1.34	1.25	1.3	1.24	0.82	1.12	1.14	1.72	1.48	1.93	1.49	1.35	1.49	1.58
A	ICCS0102	P_HTHAB	Bosnia and Herzegovina	2.39		1.74	1.3	1.22											
A	ICCS0102	P_HTHAB	Belgium	6.39	6.94	7.03	7.8	7.55	7.26	7.59	7.83	7.79	8.55	9.01	8.95	8.83	9.12	10.42	10.55
A	ICCS0102	P_HTHAB	Bulgaria	0.8	0.88	0.84	0.83	0.61	0.92	0.63	0.46	1.06	0.44	0.65	0.54	0.46	0.4	0.67	0.7
A	ICCS0102	P_HTHAB	Switzerland	1.46	2.4	2.4	2.34	2.31	1.89	1.62	1.71	2.25	2.27	1.76	1.88	2.39	2.12	2.23	2.6
A	ICCS0102	P_HTHAB	Cyprus	1.67	2.38	1.34	1.55	1.39	0.92	1.17	1.3	0.83	1.17	0.93	1.71	1.8	1.45	1.88	1.58
A	ICCS0102	P_HTHAB	Czechia	0.86	0.73	0.65	0.86	0.89	0.87	0.75	0.64	0.67	0.43	0.41	0.58	0.64	0.55	0.6	0.79
A	ICCS0102	P_HTHAB	Germany	1.96	2.01	1.98	1.94	1.98	1.98	2.01	1.91	2.14	2.09	2.33	2.18	2.13	1.87	2.07	2.06
A	ICCS0102	P_HTHAB	Denmark	3.59	3.77	2.75	2.66	2.54	2.95	2.63	2.49	3.4	3.69	3.62	2.57	2.59	2.28	2.38	2.28
A	ICCS0102	P_HTHAB	Estonia	1.49	1.87	1.05	2.63	1.28	0.76	1.06	1.29	0.84	1.22	1.36	0.83	0.98	0.68	0.68	0.37
A	ICCS0102	P_HTHAB	Greece	1.48	1.69	1.74	1.64	1.67	1.61	1.42	1.56	1.22	1.39	1.15	1.09	1.2	1.42	1.6	1.84
A	ICCS0102	P_HTHAB	Spain	1.94	1.8	1.65	1.75	1.63	1.42	1.56	1.54	1.75	1.76	1.78	1.78	2.07	2.18	2.56	2.83
A	ICCS0102	P_HTHAB	Finland	6.85	6.87	5.74	5.73	6.46	4.86	6.0	5.46	5.67	6.32	6.44	5.96	6.93	6.76	6.29	6.38
A	ICCS0102	P_HTHAB	France	1.82	1.67	1.87	2.04	2.39	2.29	2.54	3.18	3.39	3.43	3.72	4.05	4.63	4.64	5.28	5.88
A	ICCS0102	P_HTHAB	Croatia			2.91	2.87	2.36	2.96	2.66	2.49	2.22	3.01	2.19	2.4	2.66	2.55	2.8	2.88
A	ICCS0102	P_HTHAB	Hungary	1.44	1.36	1.43	1.33	1.09	1.06	1.07	0.87	0.99	0.73	0.6	0.56	0.94	0.65	1.02	0.86
A	ICCS0102	P_HTHAB	Ireland	0.24	0.15	0.15	0.17	0.19	0.28	0.33	0.28	0.51	0.27	0.29	0.55	0.38	0.3	0.25	0.27
A	ICCS0102	P_HTHAB	Iceland		1.25	1.26	0.94	1.88	1.55	1.54	0.3	1.8	2.36	1.43	0.56	1.37	2.17	3.19	2.84
A	ICCS0102	P_HTHAB	Italy	2.76	2.28	2.21	2.36	2.23	2.05	2.06	1.98	1.78	1.81	1.74	1.7	1.47	1.57	1.72	1.75
A	ICCS0102	P_HTHAB	Liechtenstein	2.83	0.0	0.0	8.3	0.0	0.0	2.69	0.0	0.0			2.61		10.24	0.0	0.0
A	ICCS0102	P_HTHAB	Lithuania	0.47	0.6	0.57	0.75	0.6	0.47	0.65	0.72	0.66	0.56	1.1	0.54	0.39	0.21	0.46	0.14
A	ICCS0102	P_HTHAB	Luxembourg	17.36	16.01	15.34	17.39	20.96	15.46	15.28	11.55	12.49	12.53	11.46	9.61	15.33	10.87	13.94	
A	ICCS0102	P_HTHAB	Latvia	0.91	0.0	0.61	1.06	0.64	0.25	0.2	0.1	0.71	0.92	1.19	1.56	1.05	1.0	1.28	1.22
A	ICCS0102	P_HTHAB	Montenegro	2.92	6.64	6.79	2.74	2.58	6.44	8.69	6.43	5.63	8.19	5.95	6.75	5.95	5.8	4.37	5.35
A	ICCS0102	P_HTHAB	North Macedonia	2.0	2.25	1.85	1.9	2.33	2.52	3.63	2.27	2.8	2.7		1.16		1.5	1.58	1.31
A	ICCS0102	P_HTHAB	Malta	1.23	1.46	0.97	1.45	1.44	0.71	1.18	0.23	0.22	1.3	1.26	1.01	0.78	1.55	0.96	0.37
A	ICCS0102	P_HTHAB	Netherlands	9.14	18.45	23.17	23.76	21.61	19.43										
A	ICCS0102	P_HTHAB	Norway	1.03	0.96	0.97	0.79	1.0	1.13	1.17	1.18	0.79	0.93	1.32	1.28	1.62	1.54	1.42	1.99
A	ICCS0102	P_HTHAB	Poland	0.78	0.7	0.63	0.55	0.53	0.61	0.55	0.45	0.45	0.58	0.61	0.77	0.87	0.83	0.63	0.72
A	ICCS0102	P_HTHAB	Romania	1.99	1.89	2.39	2.34	2.94	2.97	2.47	2.43	2.22	1.95	2.28	1.86	1.73	1.56	1.57	1.32
A	ICCS0102	P_HTHAB	Serbia	2.77	2.88	2.79	2.56	2.81	3.08	2.41	1.94	2.15	1.58	1.36	1.97	1.79	1.79	2.06	2.15
A	ICCS0102	P_HTHAB	Sweden	8.17	8.54	8.47	8.94	8.41	7.62	8.21	8.6	8.92	9.09	8.58	9.61	10.51	9.57	9.72	12.63
A	ICCS0102	P_HTHAB	Slovenia	0.95	1.87	1.51	1.66	1.46	1.36	0.78	1.26	1.26	1.98	1.79	0.82	1.62	1.04	1.28	0.76
A	ICCS0102	P_HTHAB	Slovakia	0.0	0.0	0.0	0.0	0.0	1.44	1.33	0.89		1.47						
A	ICCS0102	P_HTHAB	Scotland	13.46	11.77	9.87	10.26	7.59	5.96	4.93	5.47	4.39	4.52	5.7					
A	ICCS0102	P_HTHAB	Northern Ireland	6.83	6.38	6.56	6.13	6.38	5.58	6.04	6.06	4.2	5.3	3.94					
A	ICCS0102	P_HTHAB	Kosovo	7.29	8.39	6.84	10.98					8.3	7.51	7.73	6.46	6.45			
A	ICCS020111	NR	Albania	363.0	379.0	178.0	169.0	156.0	163.0	132.0	169.0	118.0	125.0	135.0	158.0	152.0	163.0	153.0	147.0
A	ICCS020111	NR	Austria	3945.0	4023.0	3606.0	3897.0	4030.0	3327.0	3230.0	3461.0	3793.0	3625.0	3711.0	3835.0	3549.0	3610.0	4324.0	4463.0
A	ICCS020111	NR	Bosnia and Herzegovina	1474.0		505.0	652.0	618.0	577.0	592.0	992.0	1009.0	752.0	909.0	725.0	640.0	755.0	505.0	793.0
A	ICCS020111	NR	Belgium	76314.0	77665.0	77758.0	78778.0	72312.0	69746.0	70411.0	62381.0	62985.0	62763.0	64507.0	65258.0	56193.0	59916.0	66913.0	66517.0
A	ICCS020111	NR	Bulgaria	3216.0	3122.0	3038.0	2462.0	2410.0	2470.0	2533.0	2520.0	2470.0	2811.0	2518.0	2768.0	2657.0	2758.0	3131.0	3856.0
A	ICCS020111	NR	Switzerland	8893.0	524.0	487.0	487.0	597.0	568.0	609.0	616.0	573.0	586.0	585.0	637.0	670.0	652.0	763.0	880.0
A	ICCS020111	NR	Cyprus	167.0	219.0	173.0	164.0	148.0	132.0	134.0	143.0	145.0	144.0	132.0	176.0	136.0	179.0	177.0	156.0
A	ICCS020111	NR	Czechia	5397.0	4756.0	4786.0	5264.0	5240.0	5378.0	5199.0	5229.0	5050.0	4767.0	4967.0	4684.0	3892.0	3701.0	4171.0	4263.0
A	ICCS020111	NR	Germany	518499.0	149301.0	142903.0	139091.0	136077.0	127869.0	125752.0	127395.0	140033.0	137058.0	136727.0	133084.0	130453.0	122341.0	144663.0	154541.0
A	ICCS020111	NR	Denmark	1663.0	1603.0	1753.0	1696.0	1657.0	1503.0	1533.0	1460.0	1733.0	1904.0	1857.0	1968.0	1871.0	1884.0	2158.0	2072.0
