freq	iccs	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0102	NR	NL	1500 	3041 	3841 	3957 	3615 	3260 										
A	ICCS0102	NR	NO	49 	46 	47 	39 	50 	57 	60 	61 	41 	49 	70 	68 	87 	83 	77 	109 
A	ICCS0102	NR	PL	298 	266 	241 	209 	201 	233 	210 	172 	170 	221 	230 	293 	329 	314 	239 	265 
A	ICCS0102	NR	RO	410 	387 	513 	502 	591 	595 	492 	482 	438 	384 	445 	361 	335 	300 	299 	252 
A	ICCS0102	NR	RS	204 	211 	204 	186 	203 	221 	172 	138 	152 	111 	95 	137 	124 	123 	140 	143 
A	ICCS0102	NR	SE	751 	791 	792 	842 	798 	728 	792 	838 	879 	909 	868 	983 	1085 	993 	1016 	1329 
A	ICCS0102	NR	SI	19 	38 	31 	34 	30 	28 	16 	26 	26 	41 	37 	17 	34 	22 	27 	16 
A	ICCS0102	NR	SK	0 	0 	0 	0 	0 	78 	72 	48 		80 						
A	ICCS0102	NR	UKM	698 	614 	518 	542 	403 	317 	263 	293 	236 	245 	310 					
A	ICCS0102	NR	UKN	121 	114 	118 	111 	116 	102 	111 	112 	78 	99 	74 					
A	ICCS0102	NR	XK	157 	183 	151 	197 	161 	168 	167 	156 	147 	134 	139 	116 	115 	110 		
A	ICCS0102	P_HTHAB	AL	7.63 	7.25 		7.56 			6.25 	4.78 	4.57 	4.48 	3.97 	3.25 	4.01 	3.57 	3.33 	3.40 
A	ICCS0102	P_HTHAB	AT	0.70 	1.22 	1.34 	1.25 	1.30 	1.24 	0.82 	1.12 	1.14 	1.72 	1.48 	1.93 	1.49 	1.35 	1.49 	1.58 
A	ICCS0102	P_HTHAB	BA	2.39 		1.74 	1.30 	1.22 											
A	ICCS0102	P_HTHAB	BE	6.39 	6.94 	7.03 	7.80 	7.55 	7.26 	7.59 	7.83 	7.79 	8.55 	9.01 	8.95 	8.83 	9.12 	10.42 	10.55 
A	ICCS0102	P_HTHAB	BG	0.80 	0.88 	0.84 	0.83 	0.61 	0.92 	0.63 	0.46 	1.06 	0.44 	0.65 	0.54 	0.46 	0.40 	0.67 	0.70 
A	ICCS0102	P_HTHAB	CH	1.46 	2.40 	2.40 	2.34 	2.31 	1.89 	1.62 	1.71 	2.25 	2.27 	1.76 	1.88 	2.39 	2.12 	2.23 	2.60 
A	ICCS0102	P_HTHAB	CY	1.67 	2.38 	1.34 	1.55 	1.39 	0.92 	1.17 	1.30 	0.83 	1.17 	0.93 	1.71 	1.80 	1.45 	1.88 	1.58 
A	ICCS0102	P_HTHAB	CZ	0.86 	0.73 	0.65 	0.86 	0.89 	0.87 	0.75 	0.64 	0.67 	0.43 	0.41 	0.58 	0.64 	0.55 	0.60 	0.79 
A	ICCS0102	P_HTHAB	DE	1.96 	2.01 	1.98 	1.94 	1.98 	1.98 	2.01 	1.91 	2.14 	2.09 	2.33 	2.18 	2.13 	1.87 	2.07 	2.06 
A	ICCS0102	P_HTHAB	DK	3.59 	3.77 	2.75 	2.66 	2.54 	2.95 	2.63 	2.49 	3.40 	3.69 	3.62 	2.57 	2.59 	2.28 	2.38 	2.28 
A	ICCS0102	P_HTHAB	EE	1.49 	1.87 	1.05 	2.63 	1.28 	0.76 	1.06 	1.29 	0.84 	1.22 	1.36 	0.83 	0.98 	0.68 	0.68 	0.37 
A	ICCS0102	P_HTHAB	EL	1.48 	1.69 	1.74 	1.64 	1.67 	1.61 	1.42 	1.56 	1.22 	1.39 	1.15 	1.09 	1.20 	1.42 	1.60 	1.84 
A	ICCS0102	P_HTHAB	ES	1.94 	1.80 	1.65 	1.75 	1.63 	1.42 	1.56 	1.54 	1.75 	1.76 	1.78 	1.78 	2.07 	2.18 	2.56 	2.83 
A	ICCS0102	P_HTHAB	FI	6.85 	6.87 	5.74 	5.73 	6.46 	4.86 	6.00 	5.46 	5.67 	6.32 	6.44 	5.96 	6.93 	6.76 	6.29 	6.38 
A	ICCS0102	P_HTHAB	FR	1.82 	1.67 	1.87 	2.04 	2.39 	2.29 	2.54 	3.18 	3.39 	3.43 	3.72 	4.05 	4.63 	4.64 	5.28 	5.88 
A	ICCS0102	P_HTHAB	HR			2.91 	2.87 	2.36 	2.96 	2.66 	2.49 	2.22 	3.01 	2.19 	2.40 	2.66 	2.55 	2.80 	2.88 
A	ICCS0102	P_HTHAB	HU	1.44 	1.36 	1.43 	1.33 	1.09 	1.06 	1.07 	0.87 	0.99 	0.73 	0.60 	0.56 	0.94 	0.65 	1.02 	0.86 
A	ICCS0102	P_HTHAB	IE	0.24 	0.15 	0.15 	0.17 	0.19 	0.28 	0.33 	0.28 	0.51 	0.27 	0.29 	0.55 	0.38 	0.30 	0.25 	0.27 
A	ICCS0102	P_HTHAB	IS		1.25 	1.26 	0.94 	1.88 	1.55 	1.54 	0.30 	1.80 	2.36 	1.43 	0.56 	1.37 	2.17 	3.19 	2.84 
A	ICCS0102	P_HTHAB	IT	2.76 	2.28 	2.21 	2.36 	2.23 	2.05 	2.06 	1.98 	1.78 	1.81 	1.74 	1.70 	1.47 	1.57 	1.72 	1.75 
A	ICCS0102	P_HTHAB	LI	2.83 	0.00 	0.00 	8.30 	0.00 	0.00 	2.69 	0.00 	0.00 			2.61 		10.24 	0.00 	0.00 
A	ICCS0102	P_HTHAB	LT	0.47 	0.60 	0.57 	0.75 	0.60 	0.47 	0.65 	0.72 	0.66 	0.56 	1.10 	0.54 	0.39 	0.21 	0.46 	0.14 
A	ICCS0102	P_HTHAB	LU	17.36 	16.01 	15.34 	17.39 	20.96 	15.46 	15.28 	11.55 	12.49 	12.53 	11.46 	9.61 	15.33 	10.87 	13.94 	
A	ICCS0102	P_HTHAB	LV	0.91 	0.00 	0.61 	1.06 	0.64 	0.25 	0.20 	0.10 	0.71 	0.92 	1.19 	1.56 	1.05 	1.00 	1.28 	1.22 
A	ICCS0102	P_HTHAB	ME	2.92 	6.64 	6.79 	2.74 	2.58 	6.44 	8.69 	6.43 	5.63 	8.19 	5.95 	6.75 	5.95 	5.80 	4.37 	5.35 
A	ICCS0102	P_HTHAB	MK	2.00 	2.25 	1.85 	1.90 	2.33 	2.52 	3.63 	2.27 	2.80 	2.70 		1.16 		1.50 	1.58 	1.31 
A	ICCS0102	P_HTHAB	MT	1.23 	1.46 	0.97 	1.45 	1.44 	0.71 	1.18 	0.23 	0.22 	1.30 	1.26 	1.01 	0.78 	1.55 	0.96 	0.37 
A	ICCS0102	P_HTHAB	NL	9.14 	18.45 	23.17 	23.76 	21.61 	19.43 										
A	ICCS0102	P_HTHAB	NO	1.03 	0.96 	0.97 	0.79 	1.00 	1.13 	1.17 	1.18 	0.79 	0.93 	1.32 	1.28 	1.62 	1.54 	1.42 	1.99 
A	ICCS0102	P_HTHAB	PL	0.78 	0.70 	0.63 	0.55 	0.53 	0.61 	0.55 	0.45 	0.45 	0.58 	0.61 	0.77 	0.87 	0.83 	0.63 	0.72 
A	ICCS0102	P_HTHAB	RO	1.99 	1.89 	2.39 	2.34 	2.94 	2.97 	2.47 	2.43 	2.22 	1.95 	2.28 	1.86 	1.73 	1.56 	1.57 	1.32 
A	ICCS0102	P_HTHAB	RS	2.77 	2.88 	2.79 	2.56 	2.81 	3.08 	2.41 	1.94 	2.15 	1.58 	1.36 	1.97 	1.79 	1.79 	2.06 	2.15 
A	ICCS0102	P_HTHAB	SE	8.17 	8.54 	8.47 	8.94 	8.41 	7.62 	8.21 	8.60 	8.92 	9.09 	8.58 	9.61 	10.51 	9.57 	9.72 	12.63 
A	ICCS0102	P_HTHAB	SI	0.95 	1.87 	1.51 	1.66 	1.46 	1.36 	0.78 	1.26 	1.26 	1.98 	1.79 	0.82 	1.62 	1.04 	1.28 	0.76 
A	ICCS0102	P_HTHAB	SK	0.00 	0.00 	0.00 	0.00 	0.00 	1.44 	1.33 	0.89 		1.47 						
A	ICCS0102	P_HTHAB	UKM	13.46 	11.77 	9.87 	10.26 	7.59 	5.96 	4.93 	5.47 	4.39 	4.52 	5.70 					
A	ICCS0102	P_HTHAB	UKN	6.83 	6.38 	6.56 	6.13 	6.38 	5.58 	6.04 	6.06 	4.20 	5.30 	3.94 					
A	ICCS0102	P_HTHAB	XK	7.29 	8.39 	6.84 	10.98 					8.30 	7.51 	7.73 	6.46 	6.45 			
A	ICCS020111	NR	AL	363 	379 	178 	169 	156 	163 	132 	169 	118 	125 	135 	158 	152 	163 	153 	147 
A	ICCS020111	NR	AT	3945 	4023 	3606 	3897 	4030 	3327 	3230 	3461 	3793 	3625 	3711 	3835 	3549 	3610 	4324 	4463 
A	ICCS020111	NR	BA	1474 		505 	652 	618 	577 	592 	992 	1009 	752 	909 	725 	640 	755 	505 	793 
A	ICCS020111	NR	BE	76314 	77665 	77758 	78778 	72312 	69746 	70411 	62381 	62985 	62763 	64507 	65258 	56193 	59916 	66913 	66517 
A	ICCS020111	NR	BG	3216 	3122 	3038 	2462 	2410 	2470 	2533 	2520 	2470 	2811 	2518 	2768 	2657 	2758 	3131 	3856 
A	ICCS020111	NR	CH	8893 	524 	487 	487 	597 	568 	609 	616 	573 	586 	585 	637 	670 	652 	763 	880 
A	ICCS020111	NR	CY	167 	219 	173 	164 	148 	132 	134 	143 	145 	144 	132 	176 	136 	179 	177 	156 
A	ICCS020111	NR	CZ	5397 	4756 	4786 	5264 	5240 	5378 	5199 	5229 	5050 	4767 	4967 	4684 	3892 	3701 	4171 	4263 
A	ICCS020111	NR	DE	518499 	149301 	142903 	139091 	136077 	127869 	125752 	127395 	140033 	137058 	136727 	133084 	130453 	122341 	144663 	154541 
A	ICCS020111	NR	DK	1663 	1603 	1753 	1696 	1657 	1503 	1533 	1460 	1733 	1904 	1857 	1968 	1871 	1884 	2158 	2072 
A	ICCS020111	NR	EE	140 	106 	103 	104 	99 	99 	77 	98 	93 	76 	90 	78 	77 	74 	58 	37 
A	ICCS020111	NR	EL	430 	477 	1101 	1425 	1692 	1610 	1459 	1624 	1515 	1510 	1587 	1605 	1285 	1186 	1333 	1307 
A	ICCS020111	NR	ES	72803 	80910 	25077 	18290 	17353 	16701 	16776 	29056 	17331 	18086 	18292 	20057 	15569 	19744 	25930 	26483 
A	ICCS020111	NR	FI	2228 	2083 	1974 	2035 	1856 	1791 	1645 	1563 	1592 	1581 	1609 	1584 	1754 	1663 	1726 	1795 
A	ICCS020111	NR	FR	187937 	220126 	231909 	231307 	231733 	233304 	237916 	242185 	266911 	278097 	300383 	322731 	317150 	353899 	391833 	417453 
A	ICCS020111	NR	HR	1128 	1059 	986 	873 	903 	823 	766 	804 	790 	798 	733 	736 	743 	727 	778 	920 
A	ICCS020111	NR	HU	12757 	12787 	14569 	14212 	13973 	13377 	13475 	12472 								
A	ICCS020111	NR	IE	3843 	3718 	3681 	3541 	3213 	3071 	3163 	3516 	3638 	4101 	4546 	5046 	4262 	4878 	6137 	5711 
