freq	unit	iccs	geo	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
A	NR	ICCS05012	FX	248002 	246641 	237624 	236272 	213561 	207274 	191102 	186492 	210850 	224223 	216797 	202880.0	181503.0	177840.0	165780 
A	NR	ICCS05012	HR								2957 	4037 	4174 	4125 	3734.0	3396.0	2981.0	3094 
A	NR	ICCS05012	HU	17771 	21061 	22372 	30116 	31269 	30525 	29902 	26866 	26194 	22907 	19366 	18671.0	17786.0	16856.0	17415 
A	NR	ICCS05012	IE	18238 	18713 	18506 	17672 	16970 	15840 	14286 	13376 	14877 	15474 	16436 	24913.0	26381.0	24788.0	23603 
A	NR	ICCS05012	IS								2407 	2857 	3208 	2889 	2769.0	2244.0	2365.0	2277 
A	NR	ICCS05012	IT	192141 	198401 	212477 	230258 	237445 	246804 	234252 	207317 	183496 	169430 	173097 	112112.0	122250.0	143726.0	169367 
A	NR	ICCS05012	LI			142 	203 	95 	92 	74 	95 	72 	87 	123 	121.0	97.0	120.0	102 
A	NR	ICCS05012	LT	6964 	7414 	7462 	8631 	9424 	9246 	9180 	9203 	8647 	6989 	8573 	9174.0	7065.0	6637.0	5516 
A	NR	ICCS05012	LU	2942 	3728 	3249 	3152 	2416 	2649 	2092 	2081 	1947 	1992 	2206 	2100.0	1486.0	1838.0	2030 
A	NR	ICCS05012	LV							4706 	5614 	5439 	5177 	5327 	6031.0	4310.0	4624.0	3654 
A	NR	ICCS05012	MK								981 	1036 	792 	1088 	1275.0	1146.0	1367.0	1590 
A	NR	ICCS05012	MT							675 	784 	618 	679 	682 	782.0	1113.0	856.0	735 
A	NR	ICCS05012	NL	119858 	123962 	118115 	103951 	97690 	90613 	92252 	91420 	90284 	101920 	103577 	95952.0	96015.0	95165.0	89415 
A	NR	ICCS05012	NO	18663 	17329 	18382 	18054 	15976 	14128 	11821 	10402 	9641 	10482 	10475 	8613.0	8136.0	7268.0	6777 
A	NR	ICCS05012	PL		57120 	62011 	65985 	70187 	74137 	74326 	77397 	72167 	67290 	65172 	66795.0	59325.0	46610.0	37644 
A	NR	ICCS05012	PT	19376 	23130 	21981 	22798 	24202 	21515 	22224 	21153 	20806 	19989 	21963 	22587.0	21840.0	23314.0	22324 
A	NR	ICCS05012	RO	15411 	17842 	31163 	29024 	31311 	29404 	21287 	19024 	17551 	12001 	10063 	10002.0	9135.0	9165.0	10829 
A	NR	ICCS05012	RS								9685 	11906 	9084 	6890 	7611.0	7738.0	6224.0	6184 
A	NR	ICCS05012	SE	20237 	17670 	16701 	16835 	18359 	17536 	16834 	17581 	15169 	16562 	17344 	17573.0	16654.0	15005.0	16936 
A	NR	ICCS05012	SI		1383 	1361 				988 	3274 	2522 	3051 	2368 	2750.0	2286.0	2220.0	2282 
A	NR	ICCS05012	SK	3928 	4666 	4480 	3859 	3854 	3639 	3601 	3248 	3144 	2785 	2642 	3023.0	2809.0	2602.0	2437 
A	NR	ICCS05012	TR								20493 	28877 	29149 	32162 	36935.0	58062.0	90150.0	73727 
A	NR	ICCS05012	UKC-L			643645 	602128 	519265 	473349 	442602 	402984 	430347 	437583 	402345 	321507.0	300517.0	292260.0	280696 
A	NR	ICCS05012	UKM		53116 	44725 	40814 	36792 	38033 	36265 	32684 	30181 	29623 	24828 	23613.0	21232.0	20429.0	17465 
A	NR	ICCS05012	UKN	8080 	9833 	9774 	8530 	7435 	7725 	7665 	8372 	9071 	10122 	8943 	7302.0	7255.0	6831.0	6712 
A	NR	ICCS050211	AT			6095 	5791 	5950 	5771 	5679 	8601 	5740 	5489 	7720 	8156.0	11089.0	8959.0	7802 
A	NR	ICCS050211	BE								54146 	49822 	45263 	36222 	29878.0	26769.0	26754.0	24884 
A	NR	ICCS050211	BG			2451 	2413 	2433 	1758 	1507 	2422 	2076 	2196 	1488 	1268.0	785.0	640.0	448 
A	NR	ICCS050211	CY	587 	551 	543 	1661 	1548 	1252 	959 	1237 	1441 	1206 	1569 	1475.0	1610.0	1780.0	2025 
A	NR	ICCS050211	CZ	28322 	28101 	27327 	29639 	31331 	29779 	28946 	25539 	23539 	26143 	25331 	24230.0	23040.0	20996.0	20329 
A	NR	ICCS050211	DE	276745 	272357 	262620 	225787 	190585 	162518 	140636 	127750 	121533 	116230 	109846 	107920.0	96451.0	90224.0	92628 
A	NR	ICCS050211	DK	46173 	45743 	46174 	51512 	50220 	46020 	42179 	41740 	37444 	37390 	34037 	31525.0	25887.0	25183.0	25868 
A	NR	ICCS050211	EE	2621 	2536 	1955 	1643 	1762 	2106 	2455 	2322 	2818 	2628 	2099 	1840.0	1929.0	1239.0	1007 
A	NR	ICCS050211	EL				5309 	6568 	7610 	7239 	5585 	5700 	5385 	5865 	5568.0	17552.0	20216.0	22516 
A	NR	ICCS050211	ES		99769 	98848 	113924 	142047 	147620 	148881 	144509 	158898 	156232 	138829 	126902.0	120946.0	117663.0	107786 
A	NR	ICCS050211	FI	21059 	21043 	19772 	20261 	22015 	26404 	29611 	26391 	22583 	23115 	21922 	19326.0	16791.0	15276.0	14827 
A	NR	ICCS050211	FR		484179 	453525 	443767 	417360 	415930 	395947 	401057 	418983 	382148 	328678 	285680.0	260538.0	243153.0	224658 
A	NR	ICCS050211	FX		484179 	453525 	443767 	417360 	415930 	395947 	401057 	418983 	382148 	328678 	285680.0	260538.0	243153.0	224658 
A	NR	ICCS050211	HR								2055 	2222 	2404 	2338 	2462.0	2274.0	2033.0	2069 
A	NR	ICCS050211	HU	13254 	16051 	18391 	24094 	20823 	21011 	16822 	14470 	12585 	11569 	12240 	10969.0	10770.0	10058.0	15017 
A	NR	ICCS050211	IE	13244 	12039 	11754 	13405 	13589 	13793 	14851 	16140 	14710 	14111 	12463 	14369.0	14199.0	13661.0	13531 
A	NR	ICCS050211	IT	311256 	302490 	305438 	317897 	301233 	309113 	294726 	243890 	235946 	232564 	221543 	270129.0	265975.0	280167.0	277549 
A	NR	ICCS050211	LI					6 	7 	17 	6 	8 	7 	14 	16.0	10.0	7.0	7 
A	NR	ICCS050211	LT	3037 	5068 	5206 	4561 	4485 	4843 	4279 	5991 	6626 	6484 	7022 	6330.0	4541.0	3460.0	2848 
A	NR	ICCS050211	LU	1234 	898 	1196 	819 	675 	655 	626 	542 	496 	519 	453 	526.0	464.0	523.0	454 
A	NR	ICCS050211	LV			2774 	2215 	2082 	2493 	3102 	2932 	2769 	2845 	3369 	2960.0	2023.0	2168.0	1729 
