freq	leg_stat	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	PER_CNV	P_HTHAB	ES	529.34 	556.12 	534.16 	549.40 	541.92 	526.07 	502.83 	509.89 	612.52 	642.58 	643.62 	641.38 	491.57 	624.08 	679.45 	610.05 
A	PER_CNV	P_HTHAB	FI	4486.04 	3875.66 	3850.75 	3775.10 	3536.49 	3366.32 	3174.60 	3320.58 	2843.54 	1497.77 	1502.27 	1503.39 	1460.41 	1459.04 	1397.96 	1416.38 
A	PER_CNV	P_HTHAB	FR	1099.40 	1093.78 	1055.52 	1020.98 	1040.52 	1017.65 	874.29 	864.42 	703.17 	698.97 	815.02 	818.06 	679.17 	782.83 	740.73 	758.46 
A	PER_CNV	P_HTHAB	HR	582.70 	611.51 	589.26 	564.19 	495.18 	402.66 	363.85 	307.01 	328.75 	299.07 	296.38 	326.16 	293.29 	310.92 	326.98 	299.23 
A	PER_CNV	P_HTHAB	HU	840.75 	866.33 	892.15 	852.32 	758.07 	709.73 	772.65 	727.89 	729.22 	701.55 	681.92 	655.32 	555.76 	569.20 	576.53 	579.97 
A	PER_CNV	P_HTHAB	IE		69.58 	72.71 	69.61 												
A	PER_CNV	P_HTHAB	IT	443.93 	427.24 	429.77 	448.14 	437.62 	413.80 	373.36 	363.35 	326.67 	321.38 	357.10 					
A	PER_CNV	P_HTHAB	LT	398.06 	409.88 	445.32 	448.70 	553.69 	657.15 	691.63 	591.29 	536.88 	634.08 	704.15 	628.59 	574.78 	536.90 	533.11 	515.07 
A	PER_CNV	P_HTHAB	LU									1463.43 	1616.14 	1362.95 	1235.07 	1198.52 	1265.42 	922.53 	995.14 
A	PER_CNV	P_HTHAB	LV	500.91 	494.81 	453.95 	443.17 	437.30 	426.22 	460.31 	481.25 	454.30 	474.95 	443.92 	421.83 	371.81 	361.76 	263.95 	228.68 
A	PER_CNV	P_HTHAB	ME			108.72 	180.85 	232.79 	521.51 	500.55 	442.86 	596.58 	566.85 	537.31 	580.38 	595.46 	569.48 	486.01 	441.71 
A	PER_CNV	P_HTHAB	MK	499.61 	514.93 	473.32 	511.94 	465.97 	485.48 	587.87 			133.53 		241.49 	322.74 	387.47 	437.15 	373.51 
A	PER_CNV	P_HTHAB	NL	701.30 	696.65 	592.16 	560.54 	525.27 	549.42 	528.12 	541.08 	481.76 	480.46 	457.17 	444.55 	341.48 	355.37 	355.55 	375.57 
