freq,leg_case,leg_stat,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,ADM,CRT_PEN,P_HTHAB,LT	49.55 	47.33 	88.38 	92.71 	99.35 	309.16 	363.55 	367.96 	142.84 	91.44 	158.60 	135.96 	168.03 	176.88 	189.02 
A,ADM,CRT_PEN,P_HTHAB,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	224.98 	236.29 
A,ADM,CRT_PEN,P_HTHAB,LV	194.59 	247.36 	256.97 	265.45 	212.68 	126.99 	77.19 	65.46 	71.56 	72.15 	67.77 	63.13 	57.35 	65.29 	58.80 
A,ADM,CRT_PEN,P_HTHAB,ME	263.18 	207.73 	197.09 	203.92 	274.22 	237.24 	291.22 	346.73 	436.99 	1725.61 	1670.10 	1619.14 	1367.64 	1456.33 	2767.12 
A,ADM,CRT_PEN,P_HTHAB,MT	: 	: 	: 	: 	: 	178.71 	160.56 	97.36 	95.07 	81.25 	80.09 	73.14 	66.85 	74.60 	76.20 
A,ADM,CRT_PEN,P_HTHAB,PL	: 	46.04 	55.93 	57.37 	58.14 	73.75 	81.52 	87.27 	81.30 	67.75 	58.92 	61.53 	70.56 	87.25 	90.71 
A,ADM,CRT_PEN,P_HTHAB,PT	: 	: 	: 	: 	: 	: 	: 	729.85 	704.13 	681.91 	657.46 	643.65 	587.35 	565.21 	534.85 
A,ADM,CRT_PEN,P_HTHAB,RO	90.27 	133.47 	243.95 	428.92 	701.17 	551.13 	422.06 	297.22 	351.15 	337.43 	267.77 	269.56 	285.69 	286.69 	286.47 
A,ADM,CRT_PEN,P_HTHAB,RS	: 	: 	: 	: 	: 	347.95 	339.48 	363.99 	398.17 	436.77 	535.80 	556.72 	693.13 	943.54 	1518.26 
A,ADM,CRT_PEN,P_HTHAB,SE	443.56 	501.29 	626.59 	535.17 	447.65 	445.19 	404.26 	346.35 	438.83 	592.92 	638.18 	602.86 	555.54 	495.32 	442.15 
A,ADM,CRT_PEN,P_HTHAB,SI	213.16 	150.42 	112.36 	117.84 	93.55 	88.30 	80.98 	78.39 	96.89 	159.45 	174.13 	189.63 	178.97 	184.83 	187.26 
A,ADM,CRT_PEN,P_HTHAB,SK	3.48 	3.03 	2.62 	2.15 	1.85 	1.96 	2.27 	2.36 	2.23 	95.04 	98.33 	117.07 	129.21 	149.15 	156.42 
A,ADM,CRT_PEN,P_HTHAB,TR	: 	224.34 	273.35 	229.63 	170.81 	217.37 	193.10 	216.56 	266.59 	184.05 	186.86 	228.13 	237.59 	237.88 	251.31 
A,ADM,CRT_PEN,P_HTHAB,UKC-L	846.88 	1140.44 	1311.28 	1335.12 	1483.90 	1520.29 	641.17 	687.45 	775.12 	: 	: 	: 	: 	: 	: 
A,ADM,CRT_PEN,P_HTHAB,XK	50.48 	36.32 	46.56 	77.14 	: 	: 	: 	: 	293.07 	297.39 	338.78 	351.68 	: 	: 	: 
A,ADM,CRT_RESL,NR,AL	: 	: 	: 	: 	: 	2891 	18852 	14870 	11309 	8934 	8375 	16212 	12082 	10733 	: 
A,ADM,CRT_RESL,NR,BA	3849 	7856 	8896 	11545 	11596 	11427 	12108 	9486 	8578 	7752 	7183 	7600 	7095 	8529 	8279 
A,ADM,CRT_RESL,NR,BG	: 	: 	: 	28172 	26462 	28727 	24955 	26196 	26117 	29666 	31044 	34226 	29388 	28946 	28006 
A,ADM,CRT_RESL,NR,CH	15339 	: 	21132 	: 	25509 	: 	: 	: 	9148 	: 	: 	: 	: 	: 	: 
A,ADM,CRT_RESL,NR,CZ	: 	: 	: 	6242 	8756 	8788 	8251 	8427 	9637 	10113 	10445 	11333 	11275 	11064 	9729 
A,ADM,CRT_RESL,NR,DE	136962 	127403 	124397 	124204 	133421 	146278 	128703 	147293 	164160 	203426 	220802 	208155 	186020 	171777 	167600 
A,ADM,CRT_RESL,NR,EE	2437 	2723 	3243 	3163 	3013 	2687 	3422 	3523 	3123 	2967 	2477 	2388 	2531 	2795 	2736 
A,ADM,CRT_RESL,NR,EL	: 	: 	: 	: 	: 	97219 	101467 	99510 	79872 	98698 	98621 	79540 	73525 	60628 	65990 
A,ADM,CRT_RESL,NR,ES	230786 	243565 	252340 	244592 	243718 	226973 	205548 	200375 	184041 	172522 	171713 	184040 	154264 	181836 	178091 
A,ADM,CRT_RESL,NR,FI	22371 	21495 	22855 	21850 	20586 	20187 	19849 	19849 	23748 	22703 	21238 	19941 	18756 	22277 	22188 
A,ADM,CRT_RESL,NR,FR	: 	: 	: 	176057 	199511 	192867 	200547 	198336 	30605 	191697 	209618 	223229 	200411 	233250 	232332 
A,ADM,CRT_RESL,NR,HR	14847 	15183 	15616 	16255 	4936 	8885 	11969 	13290 	15672 	14943 	15571 	14178 	13098 	13645 	13589 
A,ADM,CRT_RESL,NR,HU	12834 	12775 	13727 	13980 	13599 	16888 	16594 	19107 	19539 	17268 	17407 	16844 	26133 	22194 	19226 
A,ADM,CRT_RESL,NR,IT	87366 	96868 	181827 	123925 	145951 	107106 	99169 	87594 	83736 	75856 	68120 	66684 	57351 	59949 	68917 
A,ADM,CRT_RESL,NR,LT	6574 	4434 	6411 	5911 	7914 	11728 	12763 	16875 	21540 	13221 	13048 	14929 	13994 	15874 	23006 
A,ADM,CRT_RESL,NR,LU	: 	: 	: 	: 	: 	: 	1283 	1146 	1156 	1144 	1071 	1095 	957 	994 	1054 
