freq,leg_stat,sex,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER_CNV,M,NR,BA	: 	: 	: 	14475 	16664 	17317 	16696 	15961 	15318 	13863 	13318 	12450 	9880 	10437 	9845 	9794 
A,PER_CNV,M,NR,BE	: 	: 	119526 	119972 	132878 	116738 	96008 	103233 	: 	183993 	176669 	158204 	126401 	: 	: 	: 
A,PER_CNV,M,NR,BG	34004 	38405 	36481 	38053 	35154 	31374 	29250 	25446 	25778 	23662 	21951 	21496 	19884 	22107 	21973 	21167 
A,PER_CNV,M,NR,CH	83613 	85779 	89150 	85520 	91461 	89912 	90607 	89602 	89780 	87072 	87518 	80089 	80089 	81387 	84533 	87139 
A,PER_CNV,M,NR,CY	52573 	51762 	63106 	70297 	58299 	48979 	54951 	43271 	36688 	34752 	29931 	31685 	27879 	25715 	28581 	: 
A,PER_CNV,M,NR,CZ	: 	64372 	61465 	60958 	62046 	67019 	63817 	55687 	51302 	46205 	45164 	45975 	40475 	41760 	42058 	42947 
A,PER_CNV,M,NR,DE	716073 	688550 	660019 	653272 	625576 	609527 	601779 	593254 	594952 	579714 	578421 	592430 	570100 	542691 	528823 	536166 
A,PER_CNV,M,NR,DK	128687 	136412 	143228 	156288 	165904 	161335 	161698 	154462 	150217 	141388 	146822 	42157 	45928 	43244 	42598 	45749 
A,PER_CNV,M,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5146 	4456 	4059 
A,PER_CNV,M,NR,ES	: 	: 	: 	: 	: 	: 	203755 	202017 	229626 	236572 	237964 	238882 	187338 	238805 	261096 	236314 
A,PER_CNV,M,NR,FI	194076 	167045 	165181 	163372 	153141 	145790 	136880 	143819 	124237 	68851 	69221 	68874 	67199 	66751 	63947 	64437 
A,PER_CNV,M,NR,FR	635345 	634350 	615603 	596991 	609139 	597522 	520215 	570033 	416532 	415314 	490959 	494284 	414074 	479372 	455235 	465827 
A,PER_CNV,M,NR,HR	22543 	23768 	22910 	21744 	19149 	15410 	13594 	11491 	12021 	10820 	10587 	11567 	10319 	10770 	10982 	10029 
A,PER_CNV,M,NR,HU	72404 	73805 	75074 	73710 	65407 	61158 	67015 	61909 	62598 	59792 	57797 	55583 	6503 	47415 	47813 	47922 
A,PER_CNV,M,NR,IS	: 	: 	: 	: 	: 	3051 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,M,NR,IT	219070 	212958 	215600 	224748 	218550 	205987 	188517 	184342 	176803 	164544 	182957 	: 	: 	: 	: 	: 
A,PER_CNV,M,NR,LT	11434 	11665 	124 	122 	150 	17420 	18220 	15604 	14057 	16494 	18174 	16021 	14830 	13763 	13696 	13429 
A,PER_CNV,M,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	6677 	7477 	6509 	5888 	5898 	6398 	4906 	5398 
A,PER_CNV,M,NR,LV	9933 	9502 	8520 	8156 	7912 	7655 	8130 	8393 	7905 	8209 	7593 	6951 	6329 	5260 	4232 	3745 
A,PER_CNV,M,NR,ME	: 	: 	637 	1057 	1361 	1256 	1301 	: 	3394 	3227 	3088 	3265 	3365 	3172 	2739 	2489 
A,PER_CNV,M,NR,MK	9545 	9815 	9027 	9849 	8965 	9287 	11002 	: 	: 	2465 	: 	4589 	6126 	7322 	7251 	6252 
A,PER_CNV,M,NR,MT	: 	: 	: 	: 	: 	: 	66 	54 	29 	48 	50 	11 	11 	20 	39 	16 
A,PER_CNV,M,NR,NL	100007 	99944 	85313 	81094 	77062 	80464 	77585 	79747 	71696 	71947 	69274 	68063 	53389 	55875 	56680 	60739 
A,PER_CNV,M,NR,NO	55993 	54005 	56475 	54323 	53404 	56662 	53634 	55298 	52106 	50051 	12790 	12702 	12369 	11682 	11180 	11007 
A,PER_CNV,M,NR,PL	407246 	401148 	414913 	406476 	390950 	336269 	279072 	242805 	268555 	222405 	255103 	264712 	230936 	: 	: 	: 
A,PER_CNV,M,NR,PT	78622 	69733 	69458 	69228 	69922 	62303 	46026 	51585 	49084 	44908 	40316 	39089 	30793 	37217 	39844 	36809 
A,PER_CNV,M,NR,RO	34408 	32404 	39778 	45010 	46370 	44552 	37974 	39398 	30204 	33406 	29756 	28141 	26521 	29818 	27281 	26541 
A,PER_CNV,M,NR,RS	40441 	38887 	21030 	29977 	30394 	31557 	33915 	31889 	31357 	30337 	28204 	26804 	23870 	25917 	24604 	25312 
A,PER_CNV,M,NR,SE	59154 	60814 	63001 	62511 	60186 	54916 	51207 	49899 	47608 	48713 	51256 	53228 	58243 	62345 	64153 	66690 
A,PER_CNV,M,NR,SI	8167 	7475 	7474 	7002 	7709 	10352 	8328 	7104 	5980 	5633 	5522 	5352 	4261 	5041 	4771 	4545 
A,PER_CNV,M,NR,SK	24626 	26371 	26579 	25474 	29886 	30812 	28494 	25051 	22807 	21965 	24640 	23964 	21468 	20361 	21396 	20028 
A,PER_CNV,M,NR,TR	: 	1195630 	1127116 	1158027 	1365128 	465927 	459973 	485039 	427306 	415116 	515936 	549838 	458084 	645172 	635129 	632172 
A,PER_CNV,M,NR,UKC-L	1046179 	1048347 	1015566 	960706 	879875 	833870 	848179 	851508 	841504 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,M,NR,UKM	50331 	47029 	45618 	44377 	39986 	38203 	: 	: 	: 	68179 	: 	: 	: 	: 	: 	: 
A,PER_CNV,M,NR,UKN	30649 	31305 	31526 	32183 	29993 	27048 	22188 	23563 	22411 	19372 	20459 	: 	: 	: 	: 	: 
A,PER_CNV,M,NR,XK	12801 	12905 	9520 	17712 	20147 	15242 	17573 	16122 	17677 	18508 	19390 	17060 	: 	: 	: 	: 
A,PER_CNV,M,P_HTHAB,AL	: 	450.77 	: 	650.09 	: 	: 	: 	1044.35 	935.10 	679.58 	748.85 	721.67 	656.62 	844.05 	782.37 	614.15 
A,PER_CNV,M,P_HTHAB,AT	811.88 	801.86 	807.46 	760.87 	740.48 	709.72 	674.58 	656.20 	611.11 	611.67 	542.60 	532.04 	458.94 	457.13 	469.08 	470.63 
A,PER_CNV,M,P_HTHAB,BA	: 	: 	: 	770.98 	888.46 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,M,P_HTHAB,BE	: 	: 	2250.02 	2221.00 	2437.33 	2127.37 	1747.57 	1868.79 	: 	3291.90 	3146.81 	2802.64 	2224.89 	: 	: 	: 
A,PER_CNV,M,P_HTHAB,BG	928.98 	1056.29 	1009.45 	1060.29 	985.60 	885.00 	829.80 	726.61 	741.35 	685.86 	641.39 	633.04 	590.09 	659.97 	704.67 	682.92 
A,PER_CNV,M,P_HTHAB,CH	1101.11 	1113.74 	1145.03 	1086.64 	1149.78 	2265.63 	2252.73 	2199.43 	2178.35 	2086.34 	2080.57 	1890.17 	1876.12 	1891.58 	1948.57 	1989.50 
A,PER_CNV,M,P_HTHAB,CY	13818.35 	13274.83 	15792.09 	17197.71 	13914.07 	11632.97 	13160.72 	10507.13 	8889.92 	8340.55 	7100.93 	7405.96 	6416.77 	5875.70 	6479.73 	: 
A,PER_CNV,M,P_HTHAB,CZ	: 	1258.08 	1196.71 	1184.29 	1202.86 	1297.72 	1236.19 	1075.68 	989.18 	888.44 	865.25 	876.68 	767.74 	807.60 	811.34 	809.02 
A,PER_CNV,M,P_HTHAB,DE	1777.99 	1713.48 	1645.78 	1669.72 	1594.64 	1547.77 	1521.30 	1489.26 	1468.51 	1424.46 	1416.19 	1446.13 	1389.21 	1322.78 	1287.71 	1310.29 
A,PER_CNV,M,P_HTHAB,DK	2350.11 	2475.07 	2587.80 	2810.62 	2972.92 	5805.81 	5790.90 	5494.89 	5293.27 	4943.33 	5104.24 	1459.19 	1585.41 	1488.68 	1457.38 	1551.34 
A,PER_CNV,M,P_HTHAB,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.04 	87.12 	79.69 
A,PER_CNV,M,P_HTHAB,ES	: 	: 	: 	: 	: 	: 	890.64 	885.01 	1006.80 	1036.02 	1039.97 	1038.20 	807.52 	1028.12 	1121.12 	1002.79 
A,PER_CNV,M,P_HTHAB,FI	7473.70 	6396.14 	6292.45 	6192.05 	5773.38 	5467.22 	5106.77 	5342.73 	4598.83 	2538.45 	2545.70 	2529.07 	2463.07 	2441.69 	2331.19 	2340.20 
A,PER_CNV,M,P_HTHAB,FR	2050.81 	2036.57 	1966.67 	1897.44 	1927.33 	1880.62 	1623.38 	1771.71 	1291.68 	1285.23 	1514.64 	1522.00 	1268.42 	1462.30 	1380.23 	1407.83 
A,PER_CNV,M,P_HTHAB,HR	1085.37 	1144.47 	1104.28 	1051.07 	928.52 	749.34 	663.20 	563.50 	594.28 	539.59 	534.21 	586.39 	523.37 	548.11 	589.70 	538.65 
A,PER_CNV,M,P_HTHAB,HU	1518.04 	1549.53 	1578.21 	1553.78 	1384.37 	1296.83 	1424.82 	1318.40 	1335.13 	1278.89 	1237.20 	1188.73 	139.43 	1020.26 	1032.93 	1036.09 
A,PER_CNV,M,P_HTHAB,IS	: 	: 	: 	: 	: 	1889.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,M,P_HTHAB,IT	771.07 	745.39 	752.55 	782.68 	760.79 	713.01 	639.38 	624.85 	600.22 	558.80 	621.72 	: 	: 	: 	: 	: 
A,PER_CNV,M,P_HTHAB,LT	768.71 	791.73 	857.68 	868.23 	1085.35 	1272.56 	1343.66 	1159.07 	1057.23 	1256.99 	1400.92 	1236.58 	1136.96 	1047.73 	1048.22 	1005.30 
A,PER_CNV,M,P_HTHAB,LU	: 	: 	: 	: 	: 	: 	: 	: 	2308.84 	2520.56 	2151.17 	1907.23 	1872.59 	2002.78 	1509.24 	1623.73 
A,PER_CNV,M,P_HTHAB,LV	986.36 	957.24 	877.51 	860.39 	846.37 	826.16 	886.54 	921.09 	874.16 	916.51 	853.49 	785.50 	718.42 	600.99 	486.96 	429.31 
A,PER_CNV,M,P_HTHAB,ME	: 	: 	208.70 	345.28 	444.25 	409.39 	423.56 	: 	1102.90 	1048.57 	1003.44 	1061.06 	1094.11 	1033.68 	897.52 	816.89 
A,PER_CNV,M,P_HTHAB,MK	931.00 	955.88 	877.42 	955.40 	868.76 	898.91 	1063.16 	: 	: 	237.34 	: 	441.17 	589.20 	707.29 	795.93 	689.28 
A,PER_CNV,M,P_HTHAB,MT	: 	: 	: 	: 	: 	: 	30.76 	24.49 	12.81 	20.72 	20.78 	4.37 	4.13 	7.47 	14.42 	5.62 
A,PER_CNV,M,P_HTHAB,NL	1232.82 	1225.35 	1039.96 	983.73 	930.38 	968.59 	930.90 	952.45 	851.79 	848.92 	812.40 	793.17 	617.35 	643.24 	648.11 	686.29 
A,PER_CNV,M,P_HTHAB,NO	1181.99 	1125.28 	1162.47 	1104.06 	1071.11 	2234.39 	2089.36 	2127.50 	1986.03 	1889.34 	479.32 	473.06 	457.00 	429.60 	408.43 	398.02 
A,PER_CNV,M,P_HTHAB,PL	2211.91 	2178.39 	2253.46 	2205.55 	2121.58 	1824.96 	1516.37 	1319.80 	1461.36 	1210.18 	1387.92 	1440.19 	1256.91 	: 	: 	: 
A,PER_CNV,M,P_HTHAB,PT	1550.81 	1379.43 	1371.67 	1369.89 	1389.98 	1247.13 	928.31 	1047.69 	1001.41 	919.78 	828.24 	805.57 	624.99 	752.94 	802.13 	733.15 
A,PER_CNV,M,P_HTHAB,RO	342.40 	325.61 	380.61 	431.81 	474.27 	456.41 	389.63 	405.87 	313.00 	347.90 	311.42 	296.21 	280.33 	317.63 	295.25 	286.50 
A,PER_CNV,M,P_HTHAB,RS	1129.29 	1090.33 	591.80 	848.98 	864.84 	902.40 	974.61 	920.48 	909.89 	884.71 	826.95 	790.02 	707.33 	774.57 	743.76 	783.78 
A,PER_CNV,M,P_HTHAB,SE	644.17 	657.00 	674.48 	663.91 	634.68 	1152.27 	1063.63 	1024.15 	965.49 	971.67 	1008.45 	1035.07 	1120.96 	1193.70 	1219.47 	1258.70 
A,PER_CNV,M,P_HTHAB,SI	827.85 	744.56 	737.00 	690.15 	758.21 	1015.84 	815.77 	694.95 	584.37 	549.49 	537.66 	515.28 	405.40 	475.59 	451.08 	427.45 
A,PER_CNV,M,P_HTHAB,SK	942.19 	1007.17 	1013.09 	970.37 	1135.59 	1168.90 	1079.70 	948.07 	861.92 	828.34 	927.53 	900.54 	805.45 	763.59 	805.00 	754.32 
A,PER_CNV,M,P_HTHAB,TR	: 	3330.34 	3091.17 	3126.15 	3637.15 	1227.54 	1195.56 	1244.19 	1081.48 	1036.66 	1272.81 	1336.51 	1097.97 	1539.20 	1496.95 	1480.35 
A,PER_CNV,M,P_HTHAB,UKC-L	3904.81 	3880.14 	3727.18 	3490.85 	3171.71 	2983.80 	3010.91 	2995.67 	2932.59 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,M,P_HTHAB,UKM	2008.66 	1863.72 	1796.09 	1734.12 	1553.72 	1479.75 	: 	: 	: 	2588.53 	: 	: 	: 	: 	: 	: 
A,PER_CNV,M,P_HTHAB,UKN	3536.67 	3578.70 	3576.35 	3628.65 	3362.76 	3019.31 	2465.39 	2238.61 	2092.28 	2110.78 	: 	: 	: 	: 	: 	: 
A,PER_CNV,M,P_HTHAB,XK	1177.06 	1171.65 	853.62 	1958.71 	: 	: 	: 	: 	2001.26 	2097.87 	2183.19 	1926.78 	: 	: 	: 	: 
