freq,leg_stat,sex,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER_SUSP,T,NR,LT	20904 	21327 	21736 	21600 	26446 	30722 	30652 	26825 	21094 	27738 	24075 	23444 	24883 	22066 	22355 	21857 
A,PER_SUSP,T,NR,LU	18162 	22457 	20579 	23945 	25952 	27315 	29450 	28436 	26395 	23911 	25757 	29036 	31590 	32353 	34660 	: 
A,PER_SUSP,T,NR,LV	26446 	23810 	25614 	24529 	24589 	22133 	21961 	23235 	14997 	14325 	13384 	13320 	12704 	12356 	12274 	12544 
A,PER_SUSP,T,NR,ME	6774 	6637 	5833 	5067 	4362 	4790 	4285 	3852 	3606 	3591 	4425 	3868 	6641 	5619 	4115 	4343 
A,PER_SUSP,T,NR,MK	22690 	21226 	21093 	20429 	17577 	18311 	17182 	15920 	15913 	14752 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,T,NR,MT	3544 	3669 	4502 	5075 	5171 	5340 	5289 	5437 	5384 	5472 	5791 	5251 	5341 	6010 	5921 	6610 
A,PER_SUSP,T,NR,NL	470955 	423420 	386430 	376685 	364070 	342535 	217105 	283510 	188694 	172550 	165960 	167850 	152810 	142040 	155810 	150450 
A,PER_SUSP,T,NR,NO	85875 	82809 	83635 	81787 	80958 	82312 	81198 	80340 	80001 	73814 	70497 	69345 	69886 	64938 	61549 	60751 
A,PER_SUSP,T,NR,PL	516626 	521699 	516154 	521942 	500539 	430101 	363616 	319399 	312423 	309015 	336886 	338584 	310684 	322200 	317079 	305577 
A,PER_SUSP,T,NR,PT	224383 	240166 	208934 	206492 	205826 	194385 	180205 	183952 	173696 	180676 	174822 	152788 	132443 	138890 	159486 	175486 
A,PER_SUSP,T,NR,RO	230419 	235611 	243035 	212875 	238434 	239636 	209022 	184526 	193790 	189520 	195809 	199150 	170508 	195002 	204473 	208221 
A,PER_SUSP,T,NR,RS	56966 	55583 	55264 	52288 	50138 	52017 	48606 	49456 	49242 	50528 	50322 	50689 	46933 	46603 	45829 	45027 
A,PER_SUSP,T,NR,SE	184251 	193905 	196046 	191561 	186857 	176062 	172431 	174986 	172833 	176993 	180770 	189190 	199930 	192092 	189678 	194503 
A,PER_SUSP,T,NR,SI	17471 	19286 	20134 	19177 	18508 	18373 	18270 	16041 	14074 	15415 	15676 	16161 	15611 	14256 	15365 	15948 
A,PER_SUSP,T,NR,SK	52573 	54887 	52050 	53023 	53507 	53853 	51049 	46429 	43426 	42911 	41426 	40339 	36324 	34162 	34890 	34210 
A,PER_SUSP,T,NR,TR	: 	1269989 	1402368 	1501230 	1678537 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,T,NR,UKM	228171 	206537 	196095 	204239 	192785 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,T,NR,UKN	81185 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,T,NR,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	35300 	34450 	33411 	30614 	: 	: 	: 
A,PER_SUSP,T,P_HTHAB,AL	412.77 	376.46 	: 	627.64 	: 	: 	: 	1181.41 	1205.80 	1253.25 	1381.34 	1503.79 	1439.10 	1389.81 	1367.34 	1429.84 
A,PER_SUSP,T,P_HTHAB,AT	2895.45 	2955.94 	2873.14 	3092.81 	3091.33 	3078.02 	3007.15 	2918.84 	3105.12 	3084.85 	3269.16 	3436.39 	3104.62 	2988.59 	3369.03 	3624.13 
A,PER_SUSP,T,P_HTHAB,BA	313.88 	660.64 	712.97 	757.52 	761.94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,T,P_HTHAB,BE	2479.01 	2590.24 	2543.06 	2587.89 	2475.43 	2436.18 	2339.99 	2178.43 	: 	1718.53 	1746.61 	1786.35 	2737.15 	2080.39 	1692.21 	1648.69 
A,PER_SUSP,T,P_HTHAB,BG	738.28 	741.92 	797.73 	695.81 	628.76 	612.13 	771.12 	566.84 	645.69 	711.39 	687.22 	660.27 	638.05 	641.23 	697.97 	720.71 
A,PER_SUSP,T,P_HTHAB,CH	: 	1725.65 	1565.25 	1520.10 	1572.78 	1587.55 	1460.43 	1474.56 	1460.97 	1424.55 	1442.14 	1430.14 	1353.88 	1326.87 	1373.19 	1436.50 
A,PER_SUSP,T,P_HTHAB,CY	1267.50 	1168.99 	1182.34 	743.43 	740.71 	687.86 	653.26 	616.05 	527.40 	543.05 	502.99 	497.55 	429.39 	473.10 	591.24 	585.93 
A,PER_SUSP,T,P_HTHAB,CZ	1180.01 	1182.02 	1075.09 	1096.39 	1075.88 	1118.24 	1088.16 	964.08 	867.92 	820.38 	801.03 	809.49 	705.12 	664.60 	717.66 	732.91 
A,PER_SUSP,T,P_HTHAB,DE	2743.56 	2744.24 	2631.72 	2633.74 	2606.96 	2600.67 	2661.35 	2917.62 	2872.88 	2584.63 	2477.60 	2432.22 	2368.28 	2275.27 	2515.44 	2703.09 
A,PER_SUSP,T,P_HTHAB,DK	: 	: 	: 	: 	: 	: 	: 	621.59 	610.63 	584.61 	588.84 	621.42 	613.52 	608.81 	631.91 	578.95 
A,PER_SUSP,T,P_HTHAB,EE	1363.45 	1169.39 	1269.34 	1484.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,T,P_HTHAB,EL	1933.79 	1772.86 	1541.52 	1177.01 	1087.15 	897.62 	917.64 	1016.40 	1034.28 	1072.07 	1156.83 	1140.42 	1055.54 	1100.94 	1384.06 	1567.05 
A,PER_SUSP,T,P_HTHAB,ES	768.14 	722.43 	694.57 	809.92 	789.46 	802.11 	752.33 	813.13 	786.11 	801.15 	834.04 	865.28 	874.26 	952.88 	1066.74 	1154.17 
A,PER_SUSP,T,P_HTHAB,FI	7583.67 	8386.68 	8651.62 	8696.45 	7718.24 	7829.49 	7318.53 	7282.44 	7325.12 	7531.69 	8073.71 	7563.97 	5305.64 	2731.65 	2623.43 	2703.48 
A,PER_SUSP,T,P_HTHAB,FR	1831.66 	1825.69 	1772.87 	1804.51 	1765.03 	1686.00 	1686.15 	1642.69 	1589.53 	1711.48 	2553.52 	2561.61 	2363.80 	2615.51 	2647.68 	2775.41 
A,PER_SUSP,T,P_HTHAB,HR	736.09 	752.50 	726.31 	720.98 	642.03 	524.38 	471.39 	468.20 	446.90 	430.24 	423.80 	458.14 	467.35 	511.75 	541.23 	599.86 
A,PER_SUSP,T,P_HTHAB,HU	1556.43 	1434.16 	1636.26 	1569.60 	1485.70 	1464.42 	1210.30 	1066.85 	988.26 	933.16 	592.56 	1389.98 	1430.63 	1516.91 	1496.54 	1594.45 
A,PER_SUSP,T,P_HTHAB,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2506.83 	2219.77 	1955.48 	2028.18 	2046.59 
A,PER_SUSP,T,P_HTHAB,IS	: 	1444.73 	: 	1223.10 	1161.23 	: 	1745.63 	1197.20 	1648.28 	1806.42 	1892.95 	1798.64 	1567.55 	1592.77 	1547.12 	1628.08 
A,PER_SUSP,T,P_HTHAB,IT	1517.05 	1473.09 	1466.19 	1517.52 	1572.37 	1638.73 	1613.69 	1582.76 	1473.14 	1450.14 	1437.25 	1428.79 	1343.65 	1402.52 	1386.78 	1350.31 
A,PER_SUSP,T,P_HTHAB,LI	3937.10 	4203.55 	2922.49 	3814.77 	1601.10 	: 	4581.32 	4568.32 	4377.76 	: 	: 	1362.76 	1553.67 	1270.00 	1383.94 	: 
A,PER_SUSP,T,P_HTHAB,LT	650.69 	669.85 	691.79 	707.60 	880.46 	1033.75 	1041.36 	918.27 	730.26 	973.98 	857.10 	839.03 	885.52 	785.05 	796.69 	764.96 
A,PER_SUSP,T,P_HTHAB,LU	3754.04 	4550.56 	4098.86 	4678.22 	4944.62 	5086.22 	5357.66 	5051.18 	4580.49 	4048.14 	4278.54 	4729.81 	5045.46 	5097.13 	5370.34 	: 
A,PER_SUSP,T,P_HTHAB,LV	1206.58 	1100.87 	1207.92 	1182.35 	1202.51 	1093.62 	1097.24 	1169.88 	761.67 	734.57 	691.90 	693.76 	665.94 	652.64 	654.35 	666.17 
A,PER_SUSP,T,P_HTHAB,ME	1100.49 	1075.42 	942.32 	817.46 	703.20 	771.47 	689.44 	619.19 	579.54 	576.97 	711.00 	621.68 	1067.90 	905.21 	666.20 	704.24 
A,PER_SUSP,T,P_HTHAB,MK	1109.44 	1036.11 	1027.56 	993.01 	853.34 	887.89 	831.75 	769.39 	768.27 	711.38 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,T,P_HTHAB,MT	868.99 	892.86 	1087.37 	1222.92 	1238.43 	1267.31 	1231.65 	1236.55 	1195.34 	1188.80 	1217.36 	1063.91 	1037.38 	1164.45 	1138.27 	1219.44 
A,PER_SUSP,T,P_HTHAB,NL	2870.73 	2568.39 	2331.40 	2261.58 	2176.11 	2041.38 	1290.04 	1677.50 	1111.33 	1010.16 	965.95 	971.23 	877.84 	812.80 	885.75 	844.69 
A,PER_SUSP,T,P_HTHAB,NO	1812.79 	1725.45 	1721.52 	1662.23 	1623.75 	1629.53 	1589.63 	1555.02 	1535.32 	1403.76 	1331.23 	1301.47 	1302.00 	1204.48 	1134.49 	1106.78 
A,PER_SUSP,T,P_HTHAB,PL	1355.42 	1368.00 	1357.48 	1371.27 	1315.00 	1129.99 	956.43 	840.40 	822.88 	813.78 	887.09 	891.65 	818.49 	851.48 	859.53 	831.42 
A,PER_SUSP,T,P_HTHAB,PT	2126.18 	2273.65 	1976.02 	1953.06 	1952.36 	1853.53 	1728.20 	1773.06 	1679.63 	1752.51 	1698.78 	1486.75 	1276.51 	1336.21 	1530.41 	1668.65 
A,PER_SUSP,T,P_HTHAB,RO	1116.62 	1152.68 	1132.39 	994.10 	1186.48 	1196.98 	1047.87 	928.64 	980.69 	964.78 	1002.43 	1025.78 	882.14 	1015.55 	1073.77 	1092.76 
A,PER_SUSP,T,P_HTHAB,RS	773.42 	757.78 	756.35 	721.06 	694.75 	724.32 	680.11 	695.15 	695.87 	717.70 	718.74 	727.90 	677.57 	678.20 	674.24 	678.00 
A,PER_SUSP,T,P_HTHAB,SE	2006.45 	2094.83 	2098.84 	2034.51 	1970.47 	1842.44 	1787.80 	1795.22 	1754.47 	1770.79 	1786.22 	1849.33 	1935.88 	1850.72 	1814.70 	1848.61 
A,PER_SUSP,T,P_HTHAB,SI	869.09 	948.95 	983.60 	935.38 	900.42 	892.40 	886.43 	777.60 	681.82 	746.17 	758.44 	776.63 	744.85 	675.97 	729.17 	753.34 
A,PER_SUSP,T,P_HTHAB,SK	977.91 	1019.75 	965.60 	983.28 	990.08 	995.28 	942.57 	856.41 	800.29 	789.48 	761.07 	740.11 	665.53 	625.70 	641.98 	630.16 
A,PER_SUSP,T,P_HTHAB,TR	: 	1775.78 	1932.67 	2036.31 	2246.31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,T,P_HTHAB,UKM	4399.77 	3958.98 	3737.59 	3867.74 	3633.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,T,P_HTHAB,UKN	4585.78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,T,P_HTHAB,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	1979.22 	1915.48 	1860.65 	1717.85 	: 	: 	: 
