freq	unit	iccs	geo	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
A	NR	ICCS05012	United Kingdom	8080 	9833 	9774 	8530 	7435 	7725 	7665 	8372 	9071 	10122 	8943 	7302	7255	6831	6712 
A	NR	ICCS050211	Austria	: 	: 	6095 	5791 	5950 	5771 	5679 	8601 	5740 	5489 	7720 	8156	11089	8959	7802 
A	NR	ICCS050211	Belgium	: 	: 	: 	: 	: 	: 	: 	54146 	49822 	45263 	36222 	29878	26769	26754	24884 
A	NR	ICCS050211	Bulgaria	: 	: 	2451 	2413 	2433 	1758 	1507 	2422 	2076 	2196 	1488 	1268	785	640	448 
A	NR	ICCS050211	Cyprus	587 	551 	543 	1661 	1548 	1252 	959 	1237 	1441 	1206 	1569 	1475	1610	1780	2025 
A	NR	ICCS050211	Czechia	28322 	28101 	27327 	29639 	31331 	29779 	28946 	25539 	23539 	26143 	25331 	24230	23040	20996	20329 
A	NR	ICCS050211	Germany	276745 	272357 	262620 	225787 	190585 	162518 	140636 	127750 	121533 	116230 	109846 	107920	96451	90224	92628 
A	NR	ICCS050211	Denmark	46173 	45743 	46174 	51512 	50220 	46020 	42179 	41740 	37444 	37390 	34037 	31525	25887	25183	25868 
A	NR	ICCS050211	Estonia	2621 	2536 	1955 	1643 	1762 	2106 	2455 	2322 	2818 	2628 	2099 	1840	1929	1239	1007 
A	NR	ICCS050211	Greece	: 	: 	: 	5309 	6568 	7610 	7239 	5585 	5700 	5385 	5865 	5568	17552	20216	22516 
A	NR	ICCS050211	Spain	: 	99769 	98848 	113924 	142047 	147620 	148881 	144509 	158898 	156232 	138829 	126902	120946	117663	107786 
A	NR	ICCS050211	Finland	21059 	21043 	19772 	20261 	22015 	26404 	29611 	26391 	22583 	23115 	21922 	19326	16791	15276	14827 
A	NR	ICCS050211	France	: 	484179 	453525 	443767 	417360 	415930 	395947 	401057 	418983 	382148 	328678 	285680	260538	243153	224658 
A	NR	ICCS050211	Metropolitan France	: 	484179 	453525 	443767 	417360 	415930 	395947 	401057 	418983 	382148 	328678 	285680	260538	243153	224658 
A	NR	ICCS050211	Croatia	: 	: 	: 	: 	: 	: 	: 	2055 	2222 	2404 	2338 	2462	2274	2033	2069 
A	NR	ICCS050211	Hungary	13254 	16051 	18391 	24094 	20823 	21011 	16822 	14470 	12585 	11569 	12240 	10969	10770	10058	15017 
A	NR	ICCS050211	Ireland	13244 	12039 	11754 	13405 	13589 	13793 	14851 	16140 	14710 	14111 	12463 	14369	14199	13661	13531 
A	NR	ICCS050211	Italy	311256 	302490 	305438 	317897 	301233 	309113 	294726 	243890 	235946 	232564 	221543 	270129	265975	280167	277549 
A	NR	ICCS050211	Liechtenstein	: 	: 	: 	: 	6 	7 	17 	6 	8 	7 	14 	16	10	7	7 
A	NR	ICCS050211	Lithuania	3037 	5068 	5206 	4561 	4485 	4843 	4279 	5991 	6626 	6484 	7022 	6330	4541	3460	2848 
A	NR	ICCS050211	Luxembourg	1234 	898 	1196 	819 	675 	655 	626 	542 	496 	519 	453 	526	464	523	454 
A	NR	ICCS050211	Latvia	: 	: 	2774 	2215 	2082 	2493 	3102 	2932 	2769 	2845 	3369 	2960	2023	2168	1729 
A	NR	ICCS050211	Montenegro	: 	: 	: 	: 	: 	: 	: 	: 	: 	166 	78 	67	121	98	98 
A	NR	ICCS050211	North Macedonia	: 	: 	: 	: 	: 	: 	: 	730 	511 	576 	560 	827	567	365	413 
