freq	citizen	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	NAT	NR	IS	111 	117 	140 	122 	116 	122 	132 	110 	90 	106 	105 	126 	107 	110 	99 	83 
A	NAT	NR	IT	37283 	41500 	43918 	43676 	43146 	41504 	36889 	35611 	36829 	38731 	40357 	41880 	36864 	37920 	39317 	41778 
A	NAT	NR	LI	13 	14 	15 	19 	11 	17 	12 	11 	10 	12 	9 	7 	19 	: 	5 	3 
A	NAT	NR	LT	7910 	8537 	9039 	9792 	9616 	9112 	8477 	7227 	6704 	6485 	6360 	6010 	5218 	4919 	4807 	4398 
A	NAT	NR	LU	206 	218 	218 	189 	200 	202 	161 	175 	181 	191 	165 	155 	150 	170 	156 	147 
A	NAT	NR	LV	6466 	6970 	4656 	4443 	4120 	5068 	4658 	4303 	4101 	3671 	3438 	3349 	3059 	3125 	3150 	3156 
A	NAT	NR	ME	1168 	1410 	1342 	1246 	1129 	830 	749 	960 	839 	932 	951 	898 	678 	767 	882 	867 
A	NAT	NR	MK	: 	2160 	: 	: 	: 	: 	: 	: 	2928 	2898 	: 	: 	: 	: 	1936 	2119 
A	NAT	NR	MT	: 	: 	: 	: 	: 	: 	: 	6 	316 	342 	378 	364 	336 	303 	295 	323 
A	NAT	NR	NL	11790 	11510 	11515 	11262 	10934 	10312 	9764 	8957 	8769 	8817 	9066 	9398 	8723 	9030 	8782 	9016 
A	NAT	NR	NO	: 	: 	: 	: 	2786 	2624 	2772 	2632 	2791 	2771 	2531 	2452 	2526 	2735 	2796 	2543 
A	NAT	NR	PL	84433 	85154 	81800 	82276 	84892 	79644 	78802 	72174 	71544 	73636 	71777 	73302 	67086 	70528 	69894 	72151 
A	NAT	NR	PT	8617 	8836 	9223 	10133 	11012 	11637 	11706 	11871 	11610 	11423 	11053 	10962 	9733 	10032 	10588 	10270 
A	NAT	NR	RO	26021 	26514 	28037 	30486 	31643 	33239 	29903 	28065 	27153 	23164 	20539 	20343 	21527 	22764 	22834 	23399 
A	NAT	NR	RS	9538 	10783 	10894 	10881 	10017 	9679 	9986 	9711 	10314 	10457 	10554 	10729 	10154 	10134 	10393 	10972 
A	NAT	NR	SE	: 	: 	: 	: 	4312 	3870 	2995 	2967 	2957 	2908 	3074 	3420 	3810 	4258 	4660 	5413 
